,Cats,usd_amount,fee,counts,avg_fee_rate,vol_m,fee_m,avg_vol_usd,avg_fee_usd,color
6,ETH-ALT,6814864330.75274,12721380.94121127,126488,0.186671081386093,6814.86433075274,12.72138094121127,53877.55621681693,100.57381681433235,#FF7F0E
8,ALT-ALT,4393354234.67371,8744006.403725488,72695,0.1990280304445994,4393.3542346737095,8.744006403725487,60435.43895279882,120.2834638383037,#1F77B4
3,STABLE-ALT,2282106656.7128577,5227698.859198172,56738,0.2290733802392978,2282.106656712858,5.2276988591981715,40221.83821623705,92.1375243963159,#2CA02C
1,STABLE-ETH,2005785924.315123,3191776.6783186197,26389,0.15912848124150905,2005.785924315123,3.19177667831862,76008.40972811107,120.95102801616657,#D62728
0,STABLE-STABLE,41869437.3715082,81144.44050673865,1035,0.1938035130177239,41.869437371508205,0.08114444050673865,40453.5626777857,78.4004256103755,red
5,ETH-BTC,12295659.969161628,18933.312086753547,401,0.15398369940482748,12.295659969161628,0.018933312086753546,30662.493688682363,47.21524211160486,red
2,STABLE-BTC,4536259.100407105,8985.986789779521,233,0.19809244998754758,4.536259100407105,0.008985986789779521,19468.923177712895,38.56646690892498,red
7,BTC-ALT,4020702.2966577252,8925.692220956384,291,0.22199336241273104,4.020702296657725,0.008925692220956384,13816.846380267098,30.672481858956644,red
4,ETH-ETH,2260561.2142738844,2387.6299285626947,55,0.10562111361932865,2.2605612142738845,0.0023876299285626947,41101.112986797896,43.41145324659445,red
