,Cats,usd_amount,fee,counts,avg_fee_rate,vol_m,fee_m,avg_vol_usd,avg_fee_usd
3,ALT-ALT,3807488402.5813837,9117732.974001326,128448,0.23946843719391836,3807.4884025813835,9.117732974001326,29642.25525178581,70.98384540048366
1,ETH-ALT,1697261021.7269418,1583963.0681231387,46116,0.09332465942754498,1697.2610217269419,1.5839630681231387,36804.1682220258,34.347364648346314
0,STABLE-ALT,1406151444.837976,2871113.317653092,41916,0.20418236799407594,1406.151444837976,2.871113317653092,33546.89008583777,68.49683456563346
2,BTC-ALT,22284133.454887245,44580.542288214914,1067,0.20005508573382613,22.284133454887243,0.04458054228821491,20884.848598769677,41.78120176964847
