,amount,tkn_dayTrader,tkn_tknProvider,tkn_bntProvider,tkn_masterVault,tkn_epVault,bnt_dayTrader,bnt_tknProvider,bnt_bntProvider,bnt_masterVault,bntkn_dayTrader,bntkn_tknProvider,bntkn_bntProvider,bnbnt_dayTrader,bnbnt_tknProvider,bnbnt_bntProvider,bnbnt_bntPool,bntCurrentPoolFunding,tknStakedBalance,bntStakedBalance,tknTradingLiquidity,bntTradingLiquidity,action
11,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.20448485249940853484927905760237337529696110757211624449345209938851413062003882283971579661270559382129655582010136189920028277900E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0,2.497024980684881543146899482599434033430866797602391764741446066173270404608739644088632477374845789256099175181018956788755107914000E-23,0,3.20299289989757231221416544641831127796006751416017272925620984449000249300054134072532892153479054069290667600429542236759183176000E-24,0,0,0,5.0817148636240479562409113701816760164978815206968753948181614241377388316069418974217707997856016893243803351000801853830579120025300E-22,4.4792081353368295701978677890599402580283214876122835106118179694991774301346503708836960622349336991560711199295350139918574579291260708929132151400E-7,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,0,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,3.329311996133844239524810320822808652636073444707744231564248895041435608927561459592791255483641414742841557578216114032191282814700E-23,7.491078034985639162741948694325682801969591610762333640289780826614279926041454600240148800156964041997467903317148848183645206508200E-23,tradeBNT
12,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.19422974823739278648444868452989782273772976402600377269497864649403454102555517899414745700750079285304705428113429066193324124700E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0,-0.0486224590061370832018692316913295053326286544636239251743059645521216593192206892601330612695506146069758451804771776115074486994796467518374760177884400,0,6.38549467733310061968152592681900100907902984767891511771374713448960953183177537193768833309547537306932191973380221524444998448600E-24,0,0,0,5.0817148636240479562409113701816760164978815206968753948181614241377388316069418974217707997856016893243803351000801853830579120025300E-22,-0.0496227496824660120008508681261709796960768958864603243468829347476783083767929443559819477841077474015482953074708063301144030610466290218514953173503400,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,0,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494726303264658636253609149685027365250444888173762456561971377711676491873280047979703059264669411902337160937413594071605087145156975710428768142246900,-0.0486224750855407044886600,depositTKN
13,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.19422974823739278648444868452989782273772976402600377269497864649403454102555517899414745700750079285304705428113429066193324124700E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0.05403181978167193873922286402393455390653376483954369347592911629078073850778933217003649632198435371426499697847176146434409511678640918092357879745244700,-0.0486224590061370832018692316913295053326286544636239251743059645521216593192206892601330612695506146069758451804771776115074486994796467518374760177884400,0,6.38549467733310061968152592681900100907902984767891511771374713448960953183177537193768833309547537306932191973380221524444998448600E-24,0,0,0,-0.0000010664495143108587491651357089032236003535756714817730697418893434862474971276035552699596463643501665950968668516743322630952246507667993607946948900,0.00459817249680201717984548496993828268232214143043407490031481117888608992550210537902359896494930575174900970652000646256132615081223185408370507881515700,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,0,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494726303264658636253609149685027365250444888173762456561971377711676491873280047979703059264669411902337160937413594071605087145156975710428768142246900,-0.0486224750855407044886600,withdrawBNT
14,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.19422974823739278648444868452989782273772976402600377269497864649403454102555517899414745700750079285304705428113429066193324124700E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0.05452251888587820266468808304443254475819899380644602951468235810132011482342292930579658004546695090041779621606569905629682115614515931820731872416823700,-0.0486224590061370832018692316913295053326286544636239251743059645521216593192206892601330612695506146069758451804771776115074486994796467518374760177884400,0,6.38549467733310061968152592681900100907902984767891511771374713448960953183177537193768833309547537306932191973380221524444998448600E-24,0,0,0,-7.299244243886939543399397561618271846789922483256996671259139357934040834188185292244116263354934049413363869492220625450426494313171311448198503300E-7,0.00464030162916110039294145358259782883566705628878137788639737637455815981978205998234034695021297890147678732248526109979553350849049749839416551350531000,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,0,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494726303264658636253609149685027365250444888173762456561971377711676491873280047979703059264669411902337160937413594071605087145156975710428768142246900,-0.0486224750855407044886600,depositBNT
15,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.19422974823739278648444868452989782273772976402600377269497864649403454102555517899414745700750079285304705428113429066193324124700E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486224590061370832018692316913295053326286544636239251743059645521216593192206892601330612695506146069758451804771776115074486994796467518374760177884400,0,6.38549467733310061968152592681900100907902984767891511771374713448960953183177537193768833309547537306932191973380221524444998448600E-24,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,0,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494726303264658636253609149685027365250444888173762456561971377711676491873280047979703059264669411902337160937413594071605087145156975710428768142246900,-0.0486224750855407044886600,withdrawBNT
16,0,-4.0756288623686775958017535417248613971980793635820630325597775283304609028488165687888251234689934754975371551408791003330334351222400E-21,0,0,3.19355862708100843923166553999142793408433316860944682159129123640077818938445992720829626453050439327725288453514452781721920829800E-24,0,-1.94829090269542924455037351034510317544870716939795797812125703166411259441588986472987587507783558837820828943719513951359633831571600E-20,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486224590061370832018692316913295053326286544636239251743059645521216593192206892601330612695506146069758451804771776115074486994796467518374760177884400,0,6.38415368192885495900990376041038929301096540947629659188806382956616669374423839889119773417170587200008322888945861516137112341500E-24,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,0,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494726303264658636253609149685027365250444888173762456561971377711676491873280047979703059264669411902337160937413594071605087145156975710428768142246900,-0.0486224750855407044886600,depositTKN
17,0,-0.0000212465690035774547014716725781008704607768186954077282899640258181332111682886578643259030300553500159966090286948513914424233289746574800698323360800,0,0,1.707502681775564524245914538773653080056672532542957348445940067259301060295489033370709786894630901666979397227138278975428903914354854560994213000E-8,0,-2.03140398674395103353330590270442801378689431652669731124699337131914065677473152295865576346219849110795006616634137208988192071078200E-20,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486214379562776616444920268662899224906615630045882618703516550191455291340308518679990441423075553818949477096693991094019410520456078824917908788264600,0,6.38415368192885495900990376041038929301096540947629659188806382956616669374423839889119773417170587200008322888945861516137112341500E-24,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-3.42190315754331472286333606502707881793626981955909463077641878634565185078052709368909311578704164062090748763193274389995851686345301113143100E-11,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494736488329857899970715900800112990100532960686797817208020311545774501000938023603232880143600911755709242498676076180595310447226924513943761359682500,-0.0486214545455419043185483282055734228373167567921985608794452874489740889881276697216434216160161734937129142033582687381549058891421018282833897293965000,tradeBNT
18,0,-0.0000212465690035774547014716725781008704607768186954077282899640258181332111682886578643259030300553500159966090286948513914424233289746574800698323360800,0.01493288467050836883589261901468138351509913906377907598965746454927402908437027953520272450833270094261725776664007291932665956067037682938086068833152400,0,-0.0327654895789410619556293296004817990004004570415504723098929341782598271979954013768200688823814890545333978723096404423766585563956809376406600500318300,0,-2.03140398674395103353330590270442801378689431652669731124699337131914065677473152295865576346219849110795006616634137208988192071078200E-20,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486214379562776616444920268662899224906615630045882618703516550191455291340308518679990441423075553818949477096693991094019410520456078824917908788264600,0,-3.77181685014160228114776638884295927799900844016010996158613752426247242818067975892819676175409024866670408705744791626466054913069292656259331400E-8,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0328317097868413558157206265191503761345963994253976260607285228387517927994415352317224267537055035358961652428226768957699690224846920813443204623225400,-0.0486461280370255874863484996235552406975365611604479802754603395810202158525224087676274505303161035718084561528031315615227855657215182416111382377299000,-0.0494736488329857899970715900800112990100532960686797817208020311545774501000938023603232880143600911755709242498676076180595310447226924513943761359682500,-0.0486214545455419043185483282055734228373167567921985608794452874489740889881276697216434216160161734937129142033582687381549058891421018282833897293965000,withdrawTKN
19,0,-0.0000219468940115369755397086901934038485673807019732182544193822813295689457148509631876826806926795979217732746305076558397247326396970796426426371133700,0.01493288467050836883589261901468138351509913906377907598965746454927402908437027953520272450833270094261725776664007291932665956067037682938086068833152400,0,-0.0327646490610715741229464420991713986902905005448455040009015814720939717089137376313613090902290086739244429822206064480127911275858759845257337338227800,0,0.00004375178821451011257177163266486276384785689347192406121616897588077138173910565560785674877705088303173165363281527974752698796101073219715525224248000,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486227587942693614509356440921532814264883022269506163417716889512054656815501323985697083797275673024475058634861427730972752867175640266712898438296500,0,-3.77181685014160228114776638884295927799900844016010996158613752426247242818067975892819676175409024866670408705744791626466054913069292656259331400E-8,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461253861326040702335362832563506038881436063447818425502746970819793175815899622779759974365235926101978204651912624658253446540224812605398404400300,-0.0328317097868413558157206265191503761345963994253976260607285228387517927994415352317224267537055035358961652428226768957699690224846920813443204623225400,-0.0486461253861326040702335362832563506038881436063447818425502746970819793175815899622779759974365235926101978204651912624658253446540224812605398404400300,-0.0494723246723774393803077933293841428647406669221909209406311617350835290333681687578249765921411587618609627402659243228148107574637010361408875652096600,-0.0486227760465195032975197549255393431154592280084893655854050039380560606990875034611399877919919218864494001288102645094003306509441155365097941240808100,tradeTKN
20,0,-0.0000219468940115369755397086901934038485673807019732182544193822813295689457148509631876826806926795979217732746305076558397247326396970796426426371133700,0.01890135966196439641377780388812669834443191636488327373813852209865651435041989116629167802201981015312575984397087817903383574898475766141672926105462400,0,-0.0414772510561924383651596470346335689738718753169254170606290831843040461679142948959871142275792719753682477241784668407886103212310428394520268605984200,0,0.00004375178821451011257177163266486276384785689347192406121616897588077138173910565560785674877705088303173165363281527974752698796101073219715525224248000,0,0.19777458549015791441858225927717917114036892475524604671067136662541709369335294145385473935717990734394574536444077847881474170330007579662666989490167000,-0.0486227587942693614509356440921532814264883022269506163417716889512054656815501323985697083797275673024475058634861427730972752867175640266712898438296500,0,-4.77479874409204585738400520804489101273295880483839102530313857531520306216594742018194864866839267657440398306034356477199020468868509341329802000E-8,0,0,0,-0.0000027910731414174926343491340848658631221814868056207363130245043125684766846847897312287416420462903168837412747761361281754273549017841227087149831400,0.14839416482537317933366105483775752202707003989344509173471723887132862365683612400573615226961119751113389183454709775936885045837679223818293745881164800,-0.0486461253861326040702335362832563506038881436063447818425502746970819793175815899622779759974365235926101978204651912624658253446540224812605398404400300,-0.0415621470635294130489055246341914224342081506144316479510251129484061055192696924091956995660575817591314195808278333934210331546949917064089581997855000,-0.0486461253861326040702335362832563506038881436063447818425502746970819793175815899622779759974365235926101978204651912624658253446540224812605398404400300,-0.0494723246723774393803077933293841428647406669221909209406311617350835290333681687578249765921411587618609627402659243228148107574637010361408875652096600,-0.0486227760465195032975197549255393431154592280084893655854050039380560606990875034611399877919919218864494001288102645094003306509441155365097941240808100,withdrawTKN
