,Cats,usd_amount,fee,counts,avg_fee_rate,vol_m,fee_m,avg_vol_usd,avg_fee_usd,color
6,ETH-ALT,10131511544.413446,18648662.501524083,179475,0.18406594534067353,10131.511544413446,18.648662501524083,56450.8234818969,103.90674189454845,"(0.9921568627450981, 0.8156862745098039, 0.6352941176470588)"
3,STABLE-ALT,3106102218.806619,7112343.944735816,73565,0.22897971295575767,3106.102218806619,7.112343944735816,42222.554459411665,96.68108400374928,"(0.9019607843137255, 0.3333333333333333, 0.050980392156862744)"
1,STABLE-ETH,3002630440.7566676,4743268.452484812,38779,0.15797043779018974,3002.6304407566677,4.743268452484812,77429.29009919461,122.31538854753376,"(0.6196078431372549, 0.792156862745098, 0.8823529411764706)"
8,ALT-ALT,1448741954.666561,3401301.09532734,36849,0.23477618525309954,1448.7419546665608,3.40130109532734,39315.63827150156,92.303755741739,"(0.6313725490196078, 0.8509803921568627, 0.6078431372549019)"
0,STABLE-STABLE,60999194.82816044,118232.49899167652,1516,0.1938263272568545,60.99919482816044,0.11823249899167652,40236.9359024805,77.98977506047264,"(0.4196078431372549, 0.6823529411764706, 0.8392156862745098)"
5,ETH-BTC,17864262.54930363,27328.032113449255,555,0.15297598788657826,17.86426254930363,0.027328032113449256,32187.860449195727,49.23969750171037,"(0.9921568627450981, 0.6823529411764706, 0.4196078431372549)"
2,STABLE-BTC,6947948.097662131,13671.436145725285,313,0.19676940520504888,6.947948097662131,0.013671436145725285,22197.917244926935,43.67870973075171,"(0.7764705882352941, 0.8588235294117647, 0.9372549019607843)"
7,BTC-ALT,5959247.749284691,13078.519547854148,388,0.21946594768482325,5.959247749284692,0.013078519547854148,15358.885951764669,33.70752460787151,"(0.4549019607843137, 0.7686274509803922, 0.4627450980392157)"
4,ETH-ETH,3395473.9809180396,3563.3668641916165,105,0.10494460815241421,3.3954739809180396,0.0035633668641916164,32337.847437314664,33.93682727801539,"(0.9921568627450981, 0.5529411764705883, 0.23529411764705882)"
