,Cats,usd_amount,fee,counts,avg_fee_rate,vol_m,fee_m,avg_vol_usd,avg_fee_usd
3,ALT-ALT,7714906950.390813,13782071.16578672,68136,0.17864209191905503,7714.906950390813,13.782071165786721,113228.05786061425,202.27297120151934
1,ETH-ALT,1379512490.2550607,2737803.1445040167,13702,0.19846164234423275,1379.5124902550606,2.7378031445040167,100679.6445960488,199.81047617165498
0,STABLE-ALT,817634721.5102028,1420656.5195119458,7920,0.1737519802104219,817.6347215102028,1.4206565195119458,103236.70726138924,179.37582317070022
2,BTC-ALT,4436065.780346889,7250.213302352593,103,0.1634379123608407,4.4360657803468895,0.007250213302352593,43068.599809193096,70.39042041119022
